source,raw_status,normalized_status,is_fulfilled
printful,draft,draft,false
printful,pending,pending,false
printful,inprocess,processing,false
printful,onhold,on_hold,false
printful,partial,partial,false
printful,fulfilled,fulfilled,true
printful,returned,returned,false
printful,canceled,cancelled,false
printify,pending,pending,false
printify,on-hold,on_hold,false
printify,in-production,processing,false
printify,canceled,cancelled,false
printify,fulfilled,fulfilled,true
etsy,open,pending,false
etsy,completed,fulfilled,true
etsy,cancelled,cancelled,false
shopify,pending,pending,false
shopify,authorized,pending,false
shopify,paid,pending,false
shopify,partially_paid,partial,false
shopify,refunded,returned,false
shopify,voided,cancelled,false
